Dimension 1,Dimension 2,Dimension 3,Dimension 4,Dimension 5,Dimension 6,Dimension 7,Dimension 8,Dimension 9,Dimension 10,Dimension 11,Dimension 12
0.97249842,0.359480789,?,0.639167134,0.490157023,0.522121214,0.31773937,0.321778673,0.165983854,0.790319894,0.935596493,0.141744965
0.723149715,0.276130039,0.825040947,0.2019953,0.098298234,0.929193845,0.059957084,?,0.784130607,0.614610403,0.514446704,0.142263383
?,0.160226721,0.831420713,0.752000779,?,?,0.484302231,0.758662083,0.126958675,0.970078506,0.170910084,0.145243919
0.350342829,0.845776564,?,0.27690364,0.743211501,0.376767195,0.041214938,0.307184488,0.487104107,0.598339184,0.508809952,0.149324918
0.080365908,?,0.36706183,0.837235066,0.033940893,0.223493065,0.359491422,0.756535949,?,0.420417425,0.354465543,0.150508135
0.399755212,0.890273044,0.004332425,0.277181679,0.405061509,0.312075654,?,0.839532239,0.712741729,0.676287543,0.651129103,0.150911697
0.915476767,0.667136127,0.376258036,0.117481621,0.933262075,?,0.464905374,0.945981284,0.179728243,0.718274505,0.019119202,0.152918766
0.752333849,0.370464981,0.78781339,0.988169173,0.682727183,0.181749725,?,0.062218323,0.935333428,0.93218785,0.52238073,0.15413725
0.789893593,0.770389592,0.030380606,0.791343987,0.764016877,0.115238064,0.174395099,0.561961802,0.767465355,0.833897596,0.955721776,0.154564028
0.43987565,?,0.344218877,0.225556749,0.940800935,0.892189509,0.56760941,0.473418558,0.984473814,0.701937411,0.623079355,0.157135956
?,?,?,0.711700254,?,0.157123495,0.924822137,0.277831335,?,?,?,0.157512358
0.462804046,0.958924739,0.147086517,0.259278472,0.582904169,0.194131641,0.146095382,0.506877664,0.806523268,0.86244297,0.370912119,0.159180967
0.93998715,0.019177376,0.033268868,0.480985046,0.906433447,0.450672033,0.698288021,0.2781064,0.004772427,0.079589648,0.484897655,0.159739579
0.288915131,0.120037543,?,0.29532894,0.299375119,?,0.051557222,0.522328353,0.45118625,0.046746296,?,0.160713482
0.795461434,0.489837436,0.086809005,0.212871487,?,0.170266696,0.703526654,0.832752252,?,?,0.747440962,0.162658683
?,?,0.408077665,0.85099823,0.267497221,0.043944789,0.838345772,?,0.076578574,0.422591066,0.219770335,0.163200064
0.89877933,0.160267415,?,0.430704841,0.755200163,0.663284905,0.482262858,?,0.460133662,0.651356381,0.033522878,0.163632102
0.561040159,0.186602125,0.166261155,0.506943503,0.941238787,0.115040119,0.81033574,0.929444932,0.279981857,0.668064164,0.966378711,0.165720973
0.589925369,0.511912979,0.391342929,0.167646787,0.451911242,0.303020763,0.375960968,0.529881602,0.465538704,0.784184333,?,0.165744299
0.604787991,0.09876062,0.84117247,0.167076283,0.23803974,0.909276239,0.305088682,0.88003866,?,0.805612812,?,0.166035255
0.517820619,0.689524182,0.328955214,0.161637643,?,?,0.252552874,0.836519534,0.808173533,0.844488152,0.77282863,0.167662228
0.81709527,?,0.705270483,?,0.297223102,0.480973366,0.364349617,0.161646878,0.822115996,0.468611432,0.767728195,0.168421938
0.775715209,0.989715647,0.301262555,?,0.663911096,0.726701939,0.092739235,0.083182148,0.802975499,?,0.881274662,0.16905499
0.010261196,0.516053575,0.384286351,0.499029115,?,0.742057742,0.007578833,0.664455264,0.459767127,?,0.454742502,0.169186935
0.931666095,0.669923039,0.095337032,0.494442219,0.995344834,0.168897431,0.958289074,0.570463808,0.237248558,0.39222087,0.033314041,0.169487227
0.438365533,0.233055009,0.934248164,0.790932408,?,0.338779759,0.015756849,0.139775245,0.080186884,?,0.448662778,0.1711557
0.33808819,0.111188146,0.199246192,0.678686047,0.602875719,0.57009945,0.049847151,?,?,0.600401569,0.735969193,0.171767015
?,0.252167792,0.496866978,0.302587954,?,0.915053586,0.964908167,0.403140922,0.795757207,?,0.571619896,0.172503402
?,0.614799551,0.856101525,?,0.588934995,0.190018929,0.331555396,0.13700883,?,0.874048893,0.934117438,0.175825147
0.831050365,0.116239099,0.607874325,0.583925167,0.90669284,0.342632409,0.398329147,0.461208306,0.322227112,0.477916904,0.274782717,0.17598404
0.723117457,0.420115864,0.610750822,?,0.196332742,0.478873166,0.662405275,0.02592528,0.658095219,0.469601434,0.687618634,0.177608788
0.753757616,0.810495982,0.718649052,?,0.296384372,?,0.358891265,0.186993359,?,0.539467774,0.003414433,0.178742458
0.526681827,0.099587225,0.16537293,?,0.5341458,0.11928274,0.416350851,0.483498779,?,0.685921187,?,0.179971328
0.333070172,0.610634658,0.957665679,0.058357399,0.427941283,0.538767451,0.556317621,?,0.365148007,0.131106499,0.711375875,0.180312712
?,0.784132347,0.866897968,0.908917544,0.887900756,0.171508022,0.422265543,0.585617687,0.040099254,0.733978754,0.138827643,0.181725439
0.580909627,?,0.888721217,?,?,0.678088758,0.362609811,0.206498471,0.135394973,0.971453504,0.024831829,0.182129155
?,0.509238584,0.95942135,?,0.186626034,0.823963439,?,0.359688014,0.30061388,0.437661135,0.335411297,0.184213021
?,0.676867595,0.145938597,?,?,0.12964751,0.110752632,?,?,0.849513894,0.183138532,0.185150048
0.025253781,0.132369936,0.697949823,0.895416058,0.55031027,0.406582415,0.170399834,0.466350331,0.687471423,0.951300405,0.694380651,0.185325054
0.860592522,0.054508734,?,?,0.827069882,0.418629014,0.367849344,0.782933152,?,?,0.897428611,0.186197256
0.446223721,0.865209526,0.161386673,0.098565964,0.340244833,0.421201791,?,0.520685205,0.289147061,0.153732168,0.447333816,0.187851576
0.593142466,0.339199729,?,0.680701374,0.736002043,?,?,0.198139763,0.77071264,0.439259391,0.132667744,0.190087107
0.64180157,0.097838961,0.042372505,0.109234841,?,0.328273835,0.937668369,?,0.346570726,0.647312882,0.428755778,0.191635805
?,0.198731841,0.917684376,?,0.284017434,?,?,0.198408471,0.086161706,0.641022586,0.932383085,0.194874818
0.56965,0.001804442,0.318625109,0.539534688,0.409997256,0.230826587,0.348435736,0.001647753,?,?,0.474921002,0.194959172
0.031171752,0.496256698,0.793027722,?,0.705980286,?,0.32364043,0.351934605,?,?,0.604599231,0.197176595
0.248352125,?,0.279368052,0.966078676,?,0.937154018,?,0.61446671,0.1945387,?,0.049040263,0.197491357
?,0.930230603,0.066879899,0.253206756,?,0.987496905,0.196934451,0.267645415,0.084385763,0.080016871,0.578314319,0.199400754
0.412406254,?,0.348825297,0.775835245,0.854115559,?,0.513732712,0.809408906,?,0.208780269,0.609698503,0.199488506
0.358983088,0.23673221,0.468744181,0.111815042,0.299893986,0.287684455,?,?,0.937530873,?,0.162968896,0.201066445
?,0.206754597,0.755026609,0.594096377,0.591518687,0.549459071,0.466051306,?,0.204921463,0.710954765,0.342620323,0.202028325
?,0.125330379,?,0.064679623,0.634105641,0.037262169,0.78013956,?,0.819012288,?,0.785890624,0.203828326
0.193199511,0.06283628,0.68499197,0.321951828,?,0.699196432,0.600849229,?,0.772041377,0.990340638,0.639490724,0.206172483
0.412986856,0.524985852,0.144951603,0.026782662,0.465992156,0.750530862,?,0.243566214,0.420940737,?,0.55103621,0.20618006
?,0.782941311,0.954767356,0.537098996,?,0.594727687,?,?,0.828576282,0.929585026,?,0.207498953
?,0.196276452,0.500931187,0.241828917,0.432754575,0.669710337,0.110278652,0.908359198,0.305279323,0.453694124,0.230326438,0.209467658
0.966631205,0.978868826,?,0.99557909,0.199108097,0.40594493,0.750244456,?,0.399011843,0.226899836,0.865321082,0.210750201
0.622783595,0.90358343,0.424322319,0.525803844,0.29004311,0.158981334,0.887371205,0.372809873,?,0.192482219,0.175417089,0.212155411
0.952926494,0.01616994,?,0.195568768,?,0.545134879,0.110478007,0.505761232,0.398651677,?,?,0.213313523
0.425379259,0.865416671,0.668210988,0.99190905,0.252728456,0.206247484,0.450591307,?,0.419555738,?,?,0.215284992
0.657884448,0.932572091,0.680345445,0.222576121,0.233494081,0.529012037,0.926396501,0.462121652,0.3837737,0.976156982,?,0.215347631
0.127791348,0.503166607,0.845059317,0.196592002,?,0.008715343,0.083442617,?,0.084380358,?,0.472504034,0.216906638
?,0.483751814,0.115747063,0.130772903,0.026158377,0.250785794,0.228002762,0.568912869,?,0.726485431,0.064751391,0.217132121
0.63247452,0.801085384,0.348834595,0.103267214,0.783065452,0.554852351,0.695681564,0.113548712,?,?,0.201530132,0.220027783
?,0.25300787,0.793899568,?,0.017784543,0.621922116,0.194336054,0.361299306,?,?,0.208139428,0.220518018
0.470170673,?,0.305382357,0.675046529,?,?,0.637565431,?,0.641212489,0.640846126,?,0.22118201
?,0.708898754,0.428496937,0.560451975,0.603459202,0.313811595,0.743596132,0.640486437,0.098419515,0.425997468,0.578408329,0.221810525
0.218811292,0.475581582,0.620186312,0.252908628,0.813234314,0.626603406,0.459660669,?,0.534566164,0.951979618,0.353832416,0.222590562
?,0.718136759,0.521322572,0.365221015,0.294023862,0.402075888,0.683043399,0.807028641,0.841938592,0.979590218,0.103971044,0.222772874
0.973883585,0.581683157,0.821845224,?,?,?,?,0.336810344,0.941466809,0.829298269,0.045152434,0.22301395
0.187862048,?,0.682090377,0.587161298,0.748201871,0.908568301,?,0.322254078,?,?,?,0.22359524
0.631750009,0.647732354,0.032436232,?,0.050233891,?,0.494429866,?,0.933060288,0.314478353,0.270656013,0.22529477
?,?,0.31616316,0.248857238,0.62115104,0.041134867,0.403881209,0.217442016,?,0.44744002,0.943204474,0.228356877
?,0.865233007,0.29599588,0.114911375,0.422930093,0.412971999,?,?,0.596346217,0.46490869,0.839558107,0.229342055
0.720048298,0.492811578,0.431225965,0.740388341,0.092354893,?,0.243323562,0.733544783,0.764279533,0.160797229,0.318016417,0.229538284
0.305597137,0.288759981,0.452207111,0.114736413,0.583771807,0.035245193,?,0.816194527,0.153861975,?,0.921096684,0.230006129
0.151974319,?,?,0.067276257,0.165172422,?,0.239100882,?,0.519533608,0.329835707,?,0.230956191
0.22553398,0.393290804,0.424226824,0.353454675,0.008193698,0.83826428,0.876293761,0.646659901,0.782216533,0.634782267,0.445635297,0.231856731
0.583570526,0.349075862,0.874370049,0.830122905,0.848664414,0.856227406,0.055113885,0.00986244,0.956645079,0.177095475,0.869480049,0.233343875
?,0.568376063,0.048298232,?,?,0.241478025,0.453311797,0.127004836,0.543490275,0.052515314,0.903215772,0.234776596
?,0.553626186,0.684502787,0.808184488,0.151436713,0.05604403,0.011281261,0.786665089,0.393411097,0.044368004,0.741761569,0.235083587
0.092576422,?,0.581326697,0.789398103,0.349709097,?,0.220504505,0.239142018,0.685646131,0.630049145,0.747391383,0.235929736
0.877184347,?,0.412121118,0.95611895,0.331213339,0.20526467,0.555014817,0.108848584,?,0.451051969,0.996174767,0.237253009
0.862398447,0.129880685,0.197838541,0.726045999,?,0.601832614,0.262593071,0.729185412,?,0.654628979,0.620885338,0.238520447
0.42827042,0.00261737,0.217720004,0.992925698,0.768693163,0.705091901,0.312745146,0.870400503,?,?,0.114523573,0.239392664
0.847064915,0.448092657,0.984119553,0.56119139,0.73929819,?,0.111367771,0.214823697,0.058106883,0.966825577,0.581869331,0.240164993
0.85869979,0.779805841,0.95816462,0.968983188,0.59234914,0.277611329,0.365732002,0.567352562,?,0.057725265,?,0.240418133
0.987833489,0.090798686,0.459434858,?,?,0.338292211,0.169684254,0.670153981,0.640500858,0.415231437,0.931025422,0.24166793
0.752513873,0.968877516,?,0.155857712,0.221830069,0.363346128,0.593879804,0.246318705,0.223427665,0.571196225,0.988524827,0.243051889
0.179621207,?,?,0.491257582,0.738785171,0.837938568,0.579438345,0.670709276,0.307664155,?,0.038883626,0.243881849
?,0.019968962,?,?,?,0.814472477,0.262504791,0.722213004,0.316040453,0.462765455,0.2866651,0.244672983
0.017627749,0.71922206,0.875371946,0.790348726,0.807085531,0.640471679,0.999961375,0.055188741,0.994612315,0.936980034,0.14850911,0.246743087
0.978375266,0.613896241,0.014706176,?,?,0.935317501,0.481923213,0.903134262,0.101500074,0.393672191,?,0.247919025
?,0.740191415,0.336376522,?,0.342870604,?,0.265565309,?,0.142764379,0.711517189,?,0.247979856
0.769081073,0.995989644,0.454760322,0.243341619,0.329248653,0.000666193,?,?,0.331306701,0.217401837,0.569068291,0.251282948
0.638444844,0.029950465,?,0.58320243,0.740182085,0.07420324,?,0.230631314,0.779813343,0.445382188,?,0.254070569
0.322994786,0.942476768,0.531090844,?,0.270314913,0.380540971,0.677731118,0.224318177,0.18302491,0.151309747,0.294024833,0.255640797
0.002536723,0.180743682,0.173351344,0.228279078,0.214599325,0.308986878,0.035517931,0.995919871,0.740951712,0.847823121,0.228681616,0.25631953
0.555016431,0.385644261,?,?,?,0.10598675,0.386104136,0.047788117,0.536970982,?,?,0.258267008
?,0.453477413,?,0.419861301,0.089764199,0.639188679,0.842061053,0.746470397,0.709694324,?,0.288626336,0.261191126
?,0.537358229,0.705701287,0.442550587,0.623851886,?,0.177242648,0.947400266,0.20313936,0.200239818,0.999691679,0.262713665
